"X","date","store_nbr","item_nbr","units","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","snowfall","perciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","RA","FZ","FG","BR","UP","MI","SN","HZ","VC","TS","DZ","BL","BC","DU","SQ","PL","FU","GR","GS","SG","PR","FG2"
37679,"2012-01-08",32,51,1,33,11,22,0,15,20,43,0,0,0,0,0,24.32,30.29,3.8,18,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37686,"2012-01-08",32,58,2,33,11,22,0,15,20,43,0,0,0,0,0,24.32,30.29,3.8,18,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42521,"2012-01-09",32,9,54,47,17,32,0,19,27,33,0,0,0,0,0,24.37,30.31,3.4,18,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42557,"2012-01-09",32,45,57,47,17,32,0,19,27,33,0,0,0,0,0,24.37,30.31,3.4,18,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47405,"2012-01-10",32,9,76,56,28,42,0,24,33,23,0,0,0,0,0,24.13,29.96,4.1,16,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47441,"2012-01-10",32,45,56,56,28,42,0,24,33,23,0,0,0,0,0,24.13,29.96,4.1,16,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52289,"2012-01-11",32,9,82,41,3,0,0,12,16,0,0,0,0,0,0.01,24.24,30.15,5.3,4,8.8,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52325,"2012-01-11",32,45,35,41,3,0,0,12,16,0,0,0,0,0,0.01,24.24,30.15,5.3,4,8.8,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52331,"2012-01-11",32,51,2,41,3,0,0,12,16,0,0,0,0,0,0.01,24.24,30.15,5.3,4,8.8,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52338,"2012-01-11",32,58,4,41,3,0,0,12,16,0,0,0,0,0,0.01,24.24,30.15,5.3,4,8.8,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57173,"2012-01-12",32,9,76,40,-1,20,0,3,18,45,0,0,0,0,0,24.24,30.23,3.2,25,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57183,"2012-01-12",32,19,1,40,-1,20,0,3,18,45,0,0,0,0,0,24.24,30.23,3.2,25,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57209,"2012-01-12",32,45,40,40,-1,20,0,3,18,45,0,0,0,0,0,24.24,30.23,3.2,25,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57215,"2012-01-12",32,51,2,40,-1,20,0,3,18,45,0,0,0,0,0,24.24,30.23,3.2,25,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57222,"2012-01-12",32,58,1,40,-1,20,0,3,18,45,0,0,0,0,0,24.24,30.23,3.2,25,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62057,"2012-01-13",32,9,14,44,19,32,0,7,25,33,0,0,0,0,0,24.23,30.11,7.4,26,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62067,"2012-01-13",32,19,1,44,19,32,0,7,25,33,0,0,0,0,0,24.23,30.11,7.4,26,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62093,"2012-01-13",32,45,49,44,19,32,0,7,25,33,0,0,0,0,0,24.23,30.11,7.4,26,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62099,"2012-01-13",32,51,1,44,19,32,0,7,25,33,0,0,0,0,0,24.23,30.11,7.4,26,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62106,"2012-01-13",32,58,4,44,19,32,0,7,25,33,0,0,0,0,0,24.23,30.11,7.4,26,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66941,"2012-01-14",32,9,47,53,20,37,0,12,30,28,0,0,0,0,0,24.24,30.08,8,20,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66951,"2012-01-14",32,19,2,53,20,37,0,12,30,28,0,0,0,0,0,24.24,30.08,8,20,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66977,"2012-01-14",32,45,78,53,20,37,0,12,30,28,0,0,0,0,0,24.24,30.08,8,20,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66990,"2012-01-14",32,58,1,53,20,37,0,12,30,28,0,0,0,0,0,24.24,30.08,8,20,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71825,"2012-01-15",32,9,67,54,33,44,0,12,33,21,0,0,0,0,0,24.01,29.75,11.1,22,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71861,"2012-01-15",32,45,66,54,33,44,0,12,33,21,0,0,0,0,0,24.01,29.75,11.1,22,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71867,"2012-01-15",32,51,1,54,33,44,0,12,33,21,0,0,0,0,0,24.01,29.75,11.1,22,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71874,"2012-01-15",32,58,6,54,33,44,0,12,33,21,0,0,0,0,0,24.01,29.75,11.1,22,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76709,"2012-01-16",32,9,32,41,16,29,0,17,24,36,0,0,0,0,0.02,23.98,29.76,1.5,32,7.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76745,"2012-01-16",32,45,40,41,16,29,0,17,24,36,0,0,0,0,0.02,23.98,29.76,1.5,32,7.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76751,"2012-01-16",32,51,2,41,16,29,0,17,24,36,0,0,0,0,0.02,23.98,29.76,1.5,32,7.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81593,"2012-01-17",32,9,48,27,5,16,0,7,14,49,0,0,0,0,0,24.23,30.22,7.2,13,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81629,"2012-01-17",32,45,45,27,5,16,0,7,14,49,0,0,0,0,0,24.23,30.22,7.2,13,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81635,"2012-01-17",32,51,2,27,5,16,0,7,14,49,0,0,0,0,0,24.23,30.22,7.2,13,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81642,"2012-01-17",32,58,3,27,5,16,0,7,14,49,0,0,0,0,0,24.23,30.22,7.2,13,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86477,"2012-01-18",32,9,32,45,14,0,0,14,28,0,0,0,0,0,0,24.05,29.9,4.7,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86513,"2012-01-18",32,45,45,45,14,0,0,14,28,0,0,0,0,0,0,24.05,29.9,4.7,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86519,"2012-01-18",32,51,1,45,14,0,0,14,28,0,0,0,0,0,0,24.05,29.9,4.7,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91397,"2012-01-19",32,45,55,60,33,47,0,25,38,18,0,0,0,0,0,23.95,29.66,2.2,13,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91410,"2012-01-19",32,58,1,60,33,47,0,25,38,18,0,0,0,0,0,23.95,29.66,2.2,13,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96245,"2012-01-20",32,9,41,53,34,44,0,23,35,21,0,0,0,0,0,24.06,29.76,2.3,29,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96281,"2012-01-20",32,45,50,53,34,44,0,23,35,21,0,0,0,0,0,24.06,29.76,2.3,29,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101129,"2012-01-21",32,9,82,64,34,49,0,23,37,16,0,0,0,0,0,23.75,29.44,13.9,20,16.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101165,"2012-01-21",32,45,48,64,34,49,0,23,37,16,0,0,0,0,0,23.75,29.44,13.9,20,16.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101178,"2012-01-21",32,58,1,64,34,49,0,23,37,16,0,0,0,0,0,23.75,29.44,13.9,20,16.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101213,"2012-01-21",32,93,1,64,34,49,0,23,37,16,0,0,0,0,0,23.75,29.44,13.9,20,16.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106013,"2012-01-22",32,9,70,45,26,36,0,12,29,29,0,0,0,0,0,23.93,29.6,10.5,31,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106049,"2012-01-22",32,45,87,45,26,36,0,12,29,29,0,0,0,0,0,23.93,29.6,10.5,31,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106055,"2012-01-22",32,51,1,45,26,36,0,12,29,29,0,0,0,0,0,23.93,29.6,10.5,31,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106062,"2012-01-22",32,58,3,45,26,36,0,12,29,29,0,0,0,0,0,23.93,29.6,10.5,31,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110897,"2012-01-23",32,9,127,48,25,37,0,14,28,28,0,0,0,0,0,24.05,29.85,6.8,15,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110933,"2012-01-23",32,45,60,48,25,37,0,14,28,28,0,0,0,0,0,24.05,29.85,6.8,15,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115781,"2012-01-24",32,9,21,35,22,29,0,23,28,36,0,0,0,0,0,24.24,30.09,2.5,33,4.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115817,"2012-01-24",32,45,34,35,22,29,0,23,28,36,0,0,0,0,0,24.24,30.09,2.5,33,4.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115830,"2012-01-24",32,58,4,35,22,29,0,23,28,36,0,0,0,0,0,24.24,30.09,2.5,33,4.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120665,"2012-01-25",32,9,32,61,21,41,0,16,32,24,0,0,0,0,0,24.24,30.08,8.2,28,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120701,"2012-01-25",32,45,23,61,21,41,0,16,32,24,0,0,0,0,0,24.24,30.08,8.2,28,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125549,"2012-01-26",32,9,70,54,32,43,0,17,33,22,0,0,0,0,0,24.16,29.91,1.8,23,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125585,"2012-01-26",32,45,41,54,32,43,0,17,33,22,0,0,0,0,0,24.16,29.91,1.8,23,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125591,"2012-01-26",32,51,1,54,32,43,0,17,33,22,0,0,0,0,0,24.16,29.91,1.8,23,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125598,"2012-01-26",32,58,6,54,32,43,0,17,33,22,0,0,0,0,0,24.16,29.91,1.8,23,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130433,"2012-01-27",32,9,41,43,18,31,0,17,25,34,0,0,0,0,0,24.29,30.14,3.3,36,8.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130469,"2012-01-27",32,45,48,43,18,31,0,17,25,34,0,0,0,0,0,24.29,30.14,3.3,36,8.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130475,"2012-01-27",32,51,1,43,18,31,0,17,25,34,0,0,0,0,0,24.29,30.14,3.3,36,8.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130482,"2012-01-27",32,58,3,43,18,31,0,17,25,34,0,0,0,0,0,24.29,30.14,3.3,36,8.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135317,"2012-01-28",32,9,50,45,15,30,0,5,22,35,0,0,0,0,0,24.36,30.32,2.6,19,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135327,"2012-01-28",32,19,1,45,15,30,0,5,22,35,0,0,0,0,0,24.36,30.32,2.6,19,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135353,"2012-01-28",32,45,44,45,15,30,0,5,22,35,0,0,0,0,0,24.36,30.32,2.6,19,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135366,"2012-01-28",32,58,1,45,15,30,0,5,22,35,0,0,0,0,0,24.36,30.32,2.6,19,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135401,"2012-01-28",32,93,1,45,15,30,0,5,22,35,0,0,0,0,0,24.36,30.32,2.6,19,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140201,"2012-01-29",32,9,99,53,26,40,0,15,32,25,0,0,0,0,0,24.31,30.16,7,25,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140211,"2012-01-29",32,19,3,53,26,40,0,15,32,25,0,0,0,0,0,24.31,30.16,7,25,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140237,"2012-01-29",32,45,67,53,26,40,0,15,32,25,0,0,0,0,0,24.31,30.16,7,25,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140250,"2012-01-29",32,58,5,53,26,40,0,15,32,25,0,0,0,0,0,24.31,30.16,7,25,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140285,"2012-01-29",32,93,2,53,26,40,0,15,32,25,0,0,0,0,0,24.31,30.16,7,25,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145085,"2012-01-30",32,9,91,59,31,45,0,15,33,20,0,0,0,0,0,24.1,29.85,5.4,19,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145121,"2012-01-30",32,45,50,59,31,45,0,15,33,20,0,0,0,0,0,24.1,29.85,5.4,19,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149969,"2012-01-31",32,9,50,51,25,38,0,15,30,27,0,0,0,0,0,24.21,30,3.1,16,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150005,"2012-01-31",32,45,42,51,25,38,0,15,30,27,0,0,0,0,0,24.21,30,3.1,16,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154853,"2012-02-01",32,9,29,52,25,39,0,11,28,26,0,0,0,0,0,24.27,30.12,5.9,17,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154863,"2012-02-01",32,19,1,52,25,39,0,11,28,26,0,0,0,0,0,24.27,30.12,5.9,17,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154889,"2012-02-01",32,45,54,52,25,39,0,11,28,26,0,0,0,0,0,24.27,30.12,5.9,17,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154895,"2012-02-01",32,51,1,52,25,39,0,11,28,26,0,0,0,0,0,24.27,30.12,5.9,17,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154902,"2012-02-01",32,58,5,52,25,39,0,11,28,26,0,0,0,0,0,24.27,30.12,5.9,17,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159737,"2012-02-02",32,9,163,42,29,36,0,17,28,29,0,0,0,0,0.04,24.16,30,5.8,34,9.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159747,"2012-02-02",32,19,1,42,29,36,0,17,28,29,0,0,0,0,0.04,24.16,30,5.8,34,9.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159773,"2012-02-02",32,45,89,42,29,36,0,17,28,29,0,0,0,0,0.04,24.16,30,5.8,34,9.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159779,"2012-02-02",32,51,17,42,29,36,0,17,28,29,0,0,0,0,0.04,24.16,30,5.8,34,9.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159786,"2012-02-02",32,58,4,42,29,36,0,17,28,29,0,0,0,0,0.04,24.16,30,5.8,34,9.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164621,"2012-02-03",32,9,22,30,24,27,0,24,25,38,0,0,0,0,1.33,24.39,30.33,15.8,35,15.9,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
164657,"2012-02-03",32,45,34,30,24,27,0,24,25,38,0,0,0,0,1.33,24.39,30.33,15.8,35,15.9,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
164670,"2012-02-03",32,58,1,30,24,27,0,24,25,38,0,0,0,0,1.33,24.39,30.33,15.8,35,15.9,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
169505,"2012-02-04",32,9,90,30,11,21,0,18,21,44,0,0,0,0,0.01,24.51,30.54,1.3,35,5.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169541,"2012-02-04",32,45,54,30,11,21,0,18,21,44,0,0,0,0,0.01,24.51,30.54,1.3,35,5.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174389,"2012-02-05",32,9,46,35,5,20,0,11,16,45,0,0,0,0,0,24.39,30.45,2.5,17,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174399,"2012-02-05",32,19,1,35,5,20,0,11,16,45,0,0,0,0,0,24.39,30.45,2.5,17,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174425,"2012-02-05",32,45,40,35,5,20,0,11,16,45,0,0,0,0,0,24.39,30.45,2.5,17,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174438,"2012-02-05",32,58,1,35,5,20,0,11,16,45,0,0,0,0,0,24.39,30.45,2.5,17,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179273,"2012-02-06",32,9,49,33,11,22,0,14,21,43,0,0,0,0,0,24.3,30.27,3.8,33,6.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179309,"2012-02-06",32,45,61,33,11,22,0,14,21,43,0,0,0,0,0,24.3,30.27,3.8,33,6.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179315,"2012-02-06",32,51,2,33,11,22,0,14,21,43,0,0,0,0,0,24.3,30.27,3.8,33,6.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179322,"2012-02-06",32,58,2,33,11,22,0,14,21,43,0,0,0,0,0,24.3,30.27,3.8,33,6.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184157,"2012-02-07",32,9,113,24,12,18,0,15,18,47,0,0,0,0,0.01,24.43,30.45,1.5,6,3.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
